"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000084668",0,0,0,0,0,0
"ENSMUSG00000080585",0,0,0,0,0,0
"ENSMUSG00000043760",215,94,148,184,171,186
"ENSMUSG00000089914",0,0,0,0,0,0
"ENSMUSG00000090142",17,17,15,10,8,9
"ENSMUSG00000070175",0,0,0,0,0,0
"ENSMUSG00000065559",0,0,0,0,0,0
"ENSMUSG00000065480",0,0,0,0,0,0
"ENSMUSG00000025929",0,0,0,0,0,0
"ENSMUSG00000041872",0,0,0,0,0,1
"ENSMUSG00000041859",115,52,88,146,132,113
"ENSMUSG00000088858",0,0,0,0,0,0
"ENSMUSG00000087078",0,1,0,0,0,0
"ENSMUSG00000025931",5,10,10,7,16,15
"ENSMUSG00000077314",0,0,0,0,0,0
"ENSMUSG00000041809",1,2,1,3,4,2
"ENSMUSG00000041779",318,184,293,226,290,399
"ENSMUSG00000025933",101,77,92,110,77,90
"ENSMUSG00000025934",63207,42586,41795,41202,37181,45841
"ENSMUSG00000046847",0,0,0,0,0,1
"ENSMUSG00000025936",854,532,694,246,247,362
"ENSMUSG00000067750",1,0,1,0,1,0
"ENSMUSG00000086194",0,0,0,0,1,0
"ENSMUSG00000087453",0,0,0,0,0,0
"ENSMUSG00000041722",1,0,0,0,0,0
"ENSMUSG00000085507",0,0,0,0,0,0
"ENSMUSG00000087427",0,0,0,0,0,0
"ENSMUSG00000085079",0,0,0,0,0,0
"ENSMUSG00000085679",0,0,0,0,0,0
"ENSMUSG00000028033",3,2,2,4,1,3
"ENSMUSG00000082935",619,452,488,430,506,472
"ENSMUSG00000085163",0,0,0,2,0,0
"ENSMUSG00000041670",0,0,0,0,0,0
"ENSMUSG00000073730",7,4,3,8,2,4
"ENSMUSG00000089553",0,0,0,0,0,0
"ENSMUSG00000073729",0,0,1,0,0,0
"ENSMUSG00000065405",0,0,0,0,0,0
"ENSMUSG00000065567",0,0,0,0,0,0
"ENSMUSG00000026158",504,291,447,262,293,322
"ENSMUSG00000026156",8,3,2,4,5,3
"ENSMUSG00000026155",250,145,263,212,211,243
"ENSMUSG00000026154",374,235,315,280,263,279
"ENSMUSG00000026153",780,450,551,506,447,538
"ENSMUSG00000026147",0,0,0,1,0,0
"ENSMUSG00000026141",0,0,0,0,0,0
"ENSMUSG00000077463",0,0,0,0,0,0
"ENSMUSG00000067736",22118,14197,14808,15767,10677,22483
"ENSMUSG00000090378",212463,164474,129738,146621,128342,178395
"ENSMUSG00000073725",1947,1205,1799,1704,1558,1810
"ENSMUSG00000033569",0,0,0,0,0,0
"ENSMUSG00000080849",50,31,47,35,31,37
"ENSMUSG00000064910",0,0,0,0,0,0
"ENSMUSG00000084740",0,0,0,0,0,0
"ENSMUSG00000052558",0,0,0,0,0,0
"ENSMUSG00000088111",0,0,0,0,0,0
"ENSMUSG00000073722",0,0,0,0,0,0
"ENSMUSG00000065125",0,0,0,0,0,0
"ENSMUSG00000079640",0,0,0,0,0,0
"ENSMUSG00000086240",36,21,34,25,22,28
"ENSMUSG00000048411",0,0,0,0,0,0
"ENSMUSG00000081557",27,17,17,12,13,12
"ENSMUSG00000090766",0,0,0,0,0,0
"ENSMUSG00000058590",0,0,0,0,0,0
"ENSMUSG00000064433",0,0,0,0,0,0
"ENSMUSG00000093777",0,0,0,0,0,0
"ENSMUSG00000080625",0,0,0,0,0,0
"ENSMUSG00000080391",0,0,0,0,0,0
"ENSMUSG00000077073",0,0,0,0,0,0
"ENSMUSG00000053185",1,2,1,1,0,0
"ENSMUSG00000048874",1316,839,1518,1072,936,1209
"ENSMUSG00000026064",954,642,725,1047,879,1068
"ENSMUSG00000086151",0,0,0,0,0,0
"ENSMUSG00000086726",0,0,0,0,0,0
"ENSMUSG00000087346",0,0,0,0,0,0
"ENSMUSG00000086727",0,0,0,0,0,0
"ENSMUSG00000050217",0,1,0,0,0,0
"ENSMUSG00000026063",0,0,0,0,0,0
"ENSMUSG00000077664",0,0,0,0,0,0
"ENSMUSG00000070960",292,187,254,146,159,186
"ENSMUSG00000088620",0,0,0,0,0,0
"ENSMUSG00000082159",7,6,7,7,7,13
"ENSMUSG00000026058",0,0,0,0,0,0
"ENSMUSG00000064688",0,0,0,0,0,0
"ENSMUSG00000049830",0,0,0,0,0,0
"ENSMUSG00000091318",1,1,0,0,0,0
"ENSMUSG00000089489",0,0,0,0,0,0
"ENSMUSG00000089395",0,0,0,0,0,0
"ENSMUSG00000088750",0,0,0,0,0,0
"ENSMUSG00000065223",0,0,0,0,0,0
"ENSMUSG00000065260",0,0,0,0,0,0
"ENSMUSG00000026134",66,32,44,62,50,52
"ENSMUSG00000044744",0,0,1,2,0,1
"ENSMUSG00000004768",199,107,155,211,148,176
"ENSMUSG00000042215",61,47,53,28,34,34
"ENSMUSG00000042197",300,196,291,214,243,248
"ENSMUSG00000081402",106,71,72,53,77,62
"ENSMUSG00000042182",9,4,3,3,6,3
"ENSMUSG00000026131",2372,1207,2299,1848,1538,2005
"ENSMUSG00000084506",0,0,0,0,0,0
"ENSMUSG00000085306",0,0,0,0,1,1
"ENSMUSG00000079617",0,0,0,0,0,0
"ENSMUSG00000092852",0,0,0,1,0,0
"ENSMUSG00000042111",194,149,161,156,199,168
"ENSMUSG00000026127",605,337,492,411,482,443
"ENSMUSG00000026126",36,23,28,47,41,44
"ENSMUSG00000026125",0,0,0,0,0,0
"ENSMUSG00000026124",0,0,0,0,0,0
"ENSMUSG00000037529",0,0,0,0,0,0
