entrez_id,control_FFa1.bam,control_FFa2.bam,control_FFa3.bam,mutant_KOa1.bam,mutant_KOa2.bam,mutant_KOa3.bam,mutant_KOb1.bam,mutant_KOb2.bam,mutant_KOb3.bam
226970,57,12,29,55,27,26,71,48,52
214469,1761,1705,2265,2123,2559,2483,3845,4619,3535
226971,75,47,91,89,104,27,108,147,44
50785,7965,6782,10666,6343,8934,9067,13938,14894,11868
320011,538,249,628,544,412,603,979,1186,1043
214854,227,114,216,192,113,43,175,307,128
214855,188,235,238,99,93,68,175,240,132
226976,330,332,492,376,379,318,577,598,515
214895,113,141,277,213,184,208,263,434,268
94220,85,58,80,85,30,52,90,103,61
94218,218,175,261,217,165,227,378,359,318
78321,13,48,17,42,21,25,35,20,25
109346,46,34,26,41,24,55,117,73,88
20353,15,16,15,94,36,41,27,30,19
381337,3,27,9,47,12,15,10,24,20
623414,0,0,0,0,0,0,0,0,0
12859,3642,3210,5552,4215,5707,6409,9755,11110,8772
226977,318,245,351,306,346,325,728,950,654
71166,13,0,16,6,0,0,0,16,3
22637,43,35,35,50,43,51,60,41,23
56030,6024,2671,7779,8298,8639,8548,12425,14250,10655
70853,24,10,20,67,4,53,42,33,0
12790,29,12,16,112,10,51,48,37,19
269180,151,72,189,198,50,68,170,164,59
76178,689,326,761,1268,1520,1400,2943,3334,2925
67387,513,202,692,466,635,782,1549,1615,1550
269181,158,66,156,389,272,467,905,994,937
77633,9,0,21,53,8,23,88,48,7
72097,31,27,10,69,22,63,49,8,20
100503734,1,0,0,52,0,15,2,6,8
211484,39,18,49,16,10,2,33,57,52
623661,1,2,37,13,4,10,48,74,19
69028,170,107,359,106,133,153,355,487,659
107734,1068,812,1719,1064,1715,1574,3501,3783,3448
332427,0,0,0,17,0,4,8,6,0
69541,2,0,0,22,0,0,6,0,12
98258,1449,774,1891,1515,2337,2804,3677,3901,3614
226982,3386,2548,4234,7205,7815,8514,13774,16005,14271
56210,544,310,845,259,386,299,671,958,804
16764,597,268,430,332,223,299,873,754,636
381338,12,6,34,60,16,6,48,9,8
98388,1097,604,1607,385,563,483,849,1059,761
100503760,31,24,47,36,6,18,4,6,0
433292,0,0,3,4,7,19,14,0,0
68833,181,284,236,200,218,219,492,552,434
18143,14,8,6,137,21,39,66,26,18
114641,12955,13657,19132,15469,24894,24905,36321,39392,33142
54610,782,727,861,658,553,449,1170,970,722
100503777,6,4,3,0,5,1,36,19,20
52846,334,103,358,225,291,212,568,749,547
100217461,1,0,0,8,0,4,12,0,0
67702,370,69,519,197,361,240,594,722,503
263764,18,23,33,82,23,50,34,40,47
619289,5,6,6,28,0,36,17,17,0
